Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter
CoBank,52582,United States,"Farm Credit Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Bain Capital,109813,United States,"Asset Manager, Canadian Bank, Multinational Investment Bank & Financial Services",2021,1
Monroe Private Credit Fund A LP,122365,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Tree Line Capital Partners,129121,United States,Asset Manager,2021,1
Monroe Private Credit Fund A Financing SPV LLC,131764,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Monroe Capital Private Credit Fund I LP,131886,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
HPS Investment Partners LLC,131952,United States,"Asset Manager, Multinational Investment Bank & Financial Services",2021,1
Monroe Capital Private Credit Fund III LP,135929,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Monroe Capital Private Credit Fund III (Unleveraged) LP,135930,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
MC Financing SPV I LLC,136560,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Monroe Capital Corporation,140787,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Monroe Capital Private Credit Fund III Financing SPV LLC,142623,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Monroe Capital Private Credit Fund VT LP,143064,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Monroe Capital Income Plus Corp,144592,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
MC Income Plus Financing SPV LLC,144594,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
BofA Securities,151226,United States,"Asset Manager, Canadian Bank, Multinational Investment Bank & Financial Services",2021,1
Runway Growth Capital LLC,153260,United States,,2021,1
Monroe Capital Private Credit Master Fund IV (Unleveraged) SCSp,154980,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Monroe Capital Private Credit Master Fund IV SCSp,154989,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Seaport Global Securities LLC,156472,United States,,2021,1
Monroe Capital Private Credit Fund IV Financing SPV I SCSp,160307,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Credit Suisse Loan Funding LLC,56075,United States,"Asset Manager, Canadian Bank, Multinational Investment Bank & Financial Services",2021,1
Huntington National Bank,17130,United States,US Bank,2021,1
PNC Bank,31840,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
BlackRock Inc,41055,United States,"Asset Manager, Canadian Bank, Multinational Investment Bank & Financial Services",2021,1
BlackRock Financial,92582,United States,"Asset Manager, Multinational Investment Bank & Financial Services",2021,1
Goldman Sachs Asset Management,64312,United States,"Asset Manager, Canadian Bank, Multinational Investment Bank & Financial Services",2021,1
Goldman Sachs Asset Management LP,64312,United States,"Asset Manager, Canadian Bank, Multinational Investment Bank & Financial Services, Other",2021,1
Blackstone Credit [Ex-GSO Capital Partners],51194,United States,Diversified Financial Services Company,2021,1
Oaktree Capital Management LLC,54696,United States,"Asset Manager, Canadian Bank, Multinational Investment Bank & Financial Services",2021,1
Oaktree Capital Management LP,54696,United States,"Asset Manager, Canadian Bank, Multinational Investment Bank & Financial Services, Other",2021,1
Oaktree Capital Management,54697,United States,"Asset Manager, Multinational Investment Bank & Financial Services",2021,1
Monroe Capital Management Advisors LLC,122552,United States,"Asset Manager, BDC, Diversified Financial Services Company",2021,1
Monroe Capital LLC,57402,United States,"Asset Manager, Canadian Bank, Multinational Investment Bank & Financial Services",2021,1
MidCap Financial LLC,58871,United States,Asset Manager,2021,1
Sycamore Partners,101778,United States,Multinational Investment Bank & Financial Services,2021,1
Bank of America Merrill Lynch,15450,United States,Multinational Investment Bank & Financial Services,2021,1
International Finance Corp,30600,United States,,2021,1
Goldman Sachs Bank USA,49902,United States,"Asian Bank, Multinational Investment Bank & Financial Services",2021,1
MUFG Union Bank NA,116485,United States,"Development Finance Institution, Diversified Financial Services Company, Japanese Bank",2021,1
Jefferies,120870,United States,"Canadian Bank, Diversified Financial Services Company, Japanese Bank, Multinational Investment Bank & Financial Services",2021,1
JP Morgan & Co,46786,United States,Multinational Investment Bank & Financial Services,2021,1
BOK Financial Corp,27214,United States,US Bank,2021,1
NXT Capital LLC,43844,United States,Asset Manager,2021,1
Trustmark National Bank,51912,United States,US Bank,2021,1
Hickory Point Bank & Trust,89638,United States,US Bank,2021,1
Barings Finance LLC,128652,United States,Asset Manager,2021,1
US International Development Finance Corp,151579,United States,Development Finance Institution,2021,1
Oaktree Fund Administration LLC,152039,United States,Diversified Financial Services Company,2021,1
Caisse Federale de Credit Mutuel,156731,United States,"European Bank, Multinational Investment Bank & Financial Services",2021,1
BNF Bank plc,157376,United States,"Asian Bank, European Bank, Japanese Bank",2021,1
Callodine Commercial Finance,163749,United States,"Diversified Financial Services Company, Multinational Investment Bank & Financial Services",2021,1
Signature Bank,49973,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Great Southern Bank,54505,United States,US Bank,2021,1
Crystal Financial LLC,57441,United States,"Diversified Financial Services Company, Multinational Investment Bank & Financial Services",2021,1
Eastern Bank,52557,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
People's United Bank,53373,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1
Adams Street Private Credit,156229,United States,,2021,1
Metrobank,51324,United States,"Asian Bank, Diversified Financial Services Company",2021,1
ANZ Banking Group Ltd,101939,Australia,"Asian Bank, Australian/New Zealand Bank, Canadian Bank, European Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Banco Bilbao Vizcaya Argentaria SA,22248,United States,"Asian Bank, Australian/New Zealand Bank, Canadian Bank, European Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
Citizens Financial Group,116754,United States,"Asset Manager, Canadian Bank, European Bank, US Bank",2021,1
Bank of America Securities,62312,United States,"European Bank, Middle Eastern Bank, Multinational Investment Bank & Financial Services",2021,1
CIT Bank Ltd,15808,United Kingdom,"Asset Manager, Canadian Bank, European Bank, US Bank",2021,1
Morgan Stanley Bank NA,103799,United States,"Asian Bank, Australian/New Zealand Bank, Canadian Bank, European Bank, Japanese Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1
ING Capital LLC,52090,United States,"Asset Manager, Canadian Bank, European Bank, US Bank",2021,1
