rssdid,name,address,city,state,zipcode,year,quarter
1401686.0,BANKFIRST,"1031 WEST MORSE BOULEVARD, #150",WINTER PARK,FL,32789,2008.0,1.0
1401686.0,BANKFIRST,"1031 WEST MORSE BOULEVARD, #150",WINTER PARK,FL,32789,2008.0,2.0
1401686.0,BANKFIRST,"1031 WEST MORSE BOULEVARD, #150",WINTER PARK,FL,32789,2008.0,3.0
1401686.0,BANKFIRST,"1031 WEST MORSE BOULEVARD, #150",WINTER PARK,FL,32789,2008.0,4.0
1401891.0,VALLEY BANK OF GLASGOW,110 SIXTH STREET SOUTH,GLASGOW,MT,59230,2008.0,1.0
1401891.0,VALLEY BANK OF GLASGOW,110 SIXTH STREET SOUTH,GLASGOW,MT,59230,2008.0,2.0
1401891.0,VALLEY BANK OF GLASGOW,110 SIXTH STREET SOUTH,GLASGOW,MT,59230,2008.0,3.0
1401891.0,VALLEY BANK OF GLASGOW,110 SIXTH STREET SOUTH,GLASGOW,MT,59230,2008.0,4.0
1401903.0,FIRST SECURITY THRIFT COMPANY,803 EAST KATELLA AVENUE,ORANGE,CA,92867,2008.0,1.0
1401903.0,FIRST SECURITY THRIFT COMPANY,803 EAST KATELLA AVENUE,ORANGE,CA,92867,2008.0,2.0
1401903.0,FIRST SECURITY THRIFT COMPANY,803 EAST KATELLA AVENUE,ORANGE,CA,92867,2008.0,3.0
1401903.0,FIRST SECURITY THRIFT COMPANY,803 EAST KATELLA AVENUE,ORANGE,CA,92867,2008.0,4.0
1402384.0,NORTH ALABAMA BANK,13914 HIGHWAY 231-431 NORTH,HAZEL GREEN,AL,35750,2008.0,1.0
1402384.0,NORTH ALABAMA BANK,13914 HIGHWAY 231-431 NORTH,HAZEL GREEN,AL,35750,2008.0,2.0
1402384.0,NORTH ALABAMA BANK,13914 HIGHWAY 231-431 NORTH,HAZEL GREEN,AL,35750,2008.0,3.0
1402384.0,NORTH ALABAMA BANK,13914 HIGHWAY 231-431 NORTH,HAZEL GREEN,AL,35750,2008.0,4.0
1402405.0,FIRST BANK OF JACKSONVILLE,11100 SAN JOSE BLVD,JACKSONVILLE,FL,32223,2008.0,1.0
1402405.0,FIRST BANK OF JACKSONVILLE,11100 SAN JOSE BLVD,JACKSONVILLE,FL,32223,2008.0,2.0
1402405.0,FIRST BANK OF JACKSONVILLE,11100 SAN JOSE BLVD,JACKSONVILLE,FL,32223,2008.0,3.0
1402405.0,FIRST BANK OF JACKSONVILLE,11100 SAN JOSE BLVD,JACKSONVILLE,FL,32223,2008.0,4.0
1402610.0,GEORGIA BANK & TRUST COMPANY OF AUGUSTA,3530 WHEELER RD,AUGUSTA,GA,30909,2008.0,1.0
1402610.0,GEORGIA BANK & TRUST COMPANY OF AUGUSTA,3530 WHEELER RD,AUGUSTA,GA,30909,2008.0,2.0
1402610.0,GEORGIA BANK & TRUST COMPANY OF AUGUSTA,3530 WHEELER RD,AUGUSTA,GA,30909,2008.0,3.0
1402610.0,GEORGIA BANK & TRUST COMPANY OF AUGUSTA,3530 WHEELER RD,AUGUSTA,GA,30909,2008.0,4.0
1402629.0,FIRST COMMERCIAL BANK OF TAMPA BAY,4600 WEST KENNEDY BLVD,TAMPA,FL,33609,2008.0,1.0
1402629.0,FIRST COMMERCIAL BANK OF TAMPA BAY,4600 WEST KENNEDY BLVD,TAMPA,FL,33609,2008.0,2.0
1402629.0,FIRST COMMERCIAL BANK OF TAMPA BAY,4600 WEST KENNEDY BLVD,TAMPA,FL,33609,2008.0,3.0
1402629.0,FIRST COMMERCIAL BANK OF TAMPA BAY,4600 WEST KENNEDY BLVD,TAMPA,FL,33609,2008.0,4.0
1402638.0,"CENTERSTATE BANK CENTRAL FLORIDA, N.A.",920 NORTH JOHN YOUNG PARWAY,KISSIMMEE,FL,34741,2008.0,1.0
1402638.0,"CENTERSTATE BANK CENTRAL FLORIDA, N.A.",920 NORTH JOHN YOUNG PARWAY,KISSIMMEE,FL,34741,2008.0,2.0
1402638.0,"CENTERSTATE BANK CENTRAL FLORIDA, N.A.",920 NORTH JOHN YOUNG PARWAY,KISSIMMEE,FL,34741,2008.0,3.0
1402638.0,"CENTERSTATE BANK CENTRAL FLORIDA, N.A.",920 NORTH JOHN YOUNG PARWAY,KISSIMMEE,FL,34741,2008.0,4.0
1404463.0,"PRIVATEBANK, THE",38505 WOODWARD AVENUE SUITE 1300,BLOOMFIELD HILLS,MI,48304,2008.0,1.0
1404463.0,"PRIVATEBANK, THE",38505 WOODWARD AVENUE SUITE 1300,BLOOMFIELD HILLS,MI,48304,2008.0,2.0
1404463.0,"PRIVATEBANK, THE",38505 WOODWARD AVENUE SUITE 1300,BLOOMFIELD HILLS,MI,48304,2008.0,3.0
1404463.0,"PRIVATEBANK, THE",38505 WOODWARD AVENUE SUITE 1300,BLOOMFIELD HILLS,MI,48304,2008.0,4.0
1404481.0,BANK OF WALTERBORO,1100 NORTH JEFFERIES BLVD,WALTERBORO,SC,29488,2008.0,1.0
1404481.0,BANK OF WALTERBORO,1100 NORTH JEFFERIES BLVD,WALTERBORO,SC,29488,2008.0,2.0
1404481.0,BANK OF WALTERBORO,1100 NORTH JEFFERIES BLVD,WALTERBORO,SC,29488,2008.0,3.0
1404481.0,BANK OF WALTERBORO,1100 NORTH JEFFERIES BLVD,WALTERBORO,SC,29488,2008.0,4.0
1404883.0,BURLING BANK,141 WEST JACKSON BOULEVARD BOARD OF TRADE BUILDING,CHICAGO,IL,60604,2008.0,1.0
1404883.0,BURLING BANK,141 WEST JACKSON BOULEVARD BOARD OF TRADE BUILDING,CHICAGO,IL,60604,2008.0,2.0
1404883.0,BURLING BANK,141 WEST JACKSON BOULEVARD BOARD OF TRADE BUILDING,CHICAGO,IL,60604,2008.0,3.0
1404883.0,BURLING BANK,141 WEST JACKSON BOULEVARD BOARD OF TRADE BUILDING,CHICAGO,IL,60604,2008.0,4.0
1404940.0,BANK OF NEW CASTLE,12 READ'S WAY,NEW CASTLE,DE,19720,2008.0,1.0
1404940.0,BANK OF NEW CASTLE,12 READ'S WAY,NEW CASTLE,DE,19720,2008.0,2.0
1404940.0,BANK OF NEW CASTLE,12 READ'S WAY,NEW CASTLE,DE,19720,2008.0,3.0
1404940.0,BANK OF NEW CASTLE,12 READ'S WAY,NEW CASTLE,DE,19720,2008.0,4.0
1406980.0,TRI-STATE BANK & TRUST,2111 HIGHWAY 80 EAST,HAUGHTON,LA,71037,2008.0,1.0
1406980.0,TRI-STATE BANK & TRUST,2111 HIGHWAY 80 EAST,HAUGHTON,LA,71037,2008.0,2.0
1406980.0,TRI-STATE BANK & TRUST,2111 HIGHWAY 80 EAST,HAUGHTON,LA,71037,2008.0,3.0
1406980.0,TRI-STATE BANK & TRUST,2111 HIGHWAY 80 EAST,HAUGHTON,LA,71037,2008.0,4.0
1407512.0,"CENTERSTATE BANK, N.A.",6930 GALL BLVD,ZEPHYRHILLS,FL,33542,2008.0,1.0
1407512.0,"CENTERSTATE BANK, N.A.",6930 GALL BLVD,ZEPHYRHILLS,FL,33542,2008.0,2.0
1407512.0,"CENTERSTATE BANK, N.A.",6930 GALL BLVD,ZEPHYRHILLS,FL,33542,2008.0,3.0
1407512.0,"CENTERSTATE BANK, N.A.",6930 GALL BLVD,ZEPHYRHILLS,FL,33542,2008.0,4.0
1407521.0,"BANK OF NASHVILLE, THE",401 CHURCH ST,NASHVILLE,TN,37219,2008.0,1.0
1407521.0,"BANK OF NASHVILLE, THE",401 CHURCH ST,NASHVILLE,TN,37219,2008.0,2.0
1407521.0,"BANK OF NASHVILLE, THE",401 CHURCH ST,NASHVILLE,TN,37219,2008.0,3.0
1407521.0,"BANK OF NASHVILLE, THE",401 CHURCH ST,NASHVILLE,TN,37219,2008.0,4.0
1407530.0,FIRST CHEROKEE STATE BANK,9860 HIGHWAY 92,WOODSTOCK,GA,30188,2008.0,1.0
1407530.0,FIRST CHEROKEE STATE BANK,9860 HIGHWAY 92,WOODSTOCK,GA,30188,2008.0,2.0
1407530.0,FIRST CHEROKEE STATE BANK,9860 HIGHWAY 92,WOODSTOCK,GA,30188,2008.0,3.0
1407530.0,FIRST CHEROKEE STATE BANK,9860 HIGHWAY 92,WOODSTOCK,GA,30188,2008.0,4.0
1407932.0,"BANK, THE",100 PARK AVE P.O. BOX 832,WOODBURY,NJ,080963505,2008.0,1.0
1407932.0,"BANK, THE",100 PARK AVE P.O. BOX 832,WOODBURY,NJ,080963505,2008.0,2.0
1407932.0,"BANK, THE",100 PARK AVE P.O. BOX 832,WOODBURY,NJ,080963505,2008.0,3.0
1407932.0,"BANK, THE",100 PARK AVE,WOODBURY,NJ,080963505,2008.0,4.0
1408069.0,"FIFTH THIRD BANK, N.A.",424 CHURCH STREET SUITE 700,NASHVILLE,TN,37219,2008.0,1.0
1408069.0,"FIFTH THIRD BANK, N.A.",424 CHURCH STREET SUITE 700,NASHVILLE,TN,37219,2008.0,2.0
1408069.0,"FIFTH THIRD BANK, N.A.",424 CHURCH STREET SUITE 700,NASHVILLE,TN,37219,2008.0,3.0
1408069.0,"FIFTH THIRD BANK, N.A.",424 CHURCH STREET SUITE 700,NASHVILLE,TN,37219,2008.0,4.0
1411032.0,INLAND NORTHWEST BANK,"421 WEST RIVERSIDE AVENUE, SUITE 113",SPOKANE,WA,99201,2008.0,1.0
1411032.0,INLAND NORTHWEST BANK,"421 WEST RIVERSIDE AVENUE, SUITE 113",SPOKANE,WA,99201,2008.0,2.0
1411032.0,INLAND NORTHWEST BANK,"421 WEST RIVERSIDE AVENUE, SUITE 113",SPOKANE,WA,99201,2008.0,3.0
1411032.0,INLAND NORTHWEST BANK,"421 WEST RIVERSIDE AVENUE, SUITE 113",SPOKANE,WA,99201,2008.0,4.0
1412619.0,1ST CONSTITUTION BANK,2650 ROUTE 130,CRANBURY,NJ,08512,2008.0,1.0
1412619.0,1ST CONSTITUTION BANK,2650 ROUTE 130,CRANBURY,NJ,08512,2008.0,2.0
1412619.0,1ST CONSTITUTION BANK,2650 ROUTE 130,CRANBURY,NJ,08512,2008.0,3.0
