rssdid,name,address,city,state,zipcode,year,quarter
974558,FIRST NATIONAL BANK AND TRUST COMPANY OF BOTTINEAU,424 MAIN ST.,BOTTINEAU,ND,58318,2021,3
974558,FIRST NATIONAL BANK AND TRUST COMPANY OF BOTTINEAU,424 MAIN ST.,BOTTINEAU,ND,58318,2021,4
974754,COMMUNITY BANK OF LOUISIANA,118 JEFFERSON,MANSFIELD,LA,71052,2021,1
974754,COMMUNITY BANK OF LOUISIANA,118 JEFFERSON,MANSFIELD,LA,71052,2021,2
974754,COMMUNITY BANK OF LOUISIANA,118 JEFFERSON,MANSFIELD,LA,71052,2021,3
974754,COMMUNITY BANK OF LOUISIANA,118 JEFFERSON,MANSFIELD,LA,71052,2021,4
975153,UNICO BANK,625 VETERANS DRIVE,MINERAL POINT,MO,63660,2021,1
975153,UNICO BANK,625 VETERANS DRIVE,MINERAL POINT,MO,63660,2021,2
975153,UNICO BANK,625 VETERANS DRIVE,MINERAL POINT,MO,63660,2021,3
975153,UNICO BANK,625 VETERANS DRIVE,MINERAL POINT,MO,63660,2021,4
975256,DELTA BANK,1617 CARTER ST,VIDALIA,LA,71373,2021,1
975256,DELTA BANK,1617 CARTER ST,VIDALIA,LA,71373,2021,2
975256,DELTA BANK,1617 CARTER ST,VIDALIA,LA,71373,2021,3
975256,DELTA BANK,1617 CARTER ST,VIDALIA,LA,71373,2021,4
975452,"FIRST NATIONAL BANK OF GILBERT, THE",2 NORTH BROADWAY,GILBERT,MN,55741,2021,1
975452,"FIRST NATIONAL BANK OF GILBERT, THE",2 NORTH BROADWAY,GILBERT,MN,55741,2021,2
975452,"FIRST NATIONAL BANK OF GILBERT, THE",2 NORTH BROADWAY,GILBERT,MN,55741,2021,3
975452,"FIRST NATIONAL BANK OF GILBERT, THE",2 NORTH BROADWAY,GILBERT,MN,55741,2021,4
975555,FIRST NATIONAL BANK OF JASPER,301 E HOUSTON ST,JASPER,TX,759514409,2021,1
975555,FIRST NATIONAL BANK OF JASPER,301 E HOUSTON ST,JASPER,TX,759514409,2021,2
975555,FIRST NATIONAL BANK OF JASPER,301 E HOUSTON ST,JASPER,TX,759514409,2021,3
975555,FIRST NATIONAL BANK OF JASPER,301 E HOUSTON ST,JASPER,TX,759514409,2021,4
975751,CIBC NATIONAL TRUST COMPANY,3290 NORTHSIDE PARKWAY,ATLANTA,GA,30327,2021,1
975751,CIBC NATIONAL TRUST COMPANY,3290 NORTHSIDE PARKWAY,ATLANTA,GA,30327,2021,2
975751,CIBC NATIONAL TRUST COMPANY,3290 NORTHSIDE PARKWAY,ATLANTA,GA,30327,2021,3
975751,CIBC NATIONAL TRUST COMPANY,3290 NORTHSIDE PARKWAY,ATLANTA,GA,30327,2021,4
