"Lender_Name","Lender_Id","Lender_Operating_Country","Lender_Institution_Type","year","quarter"
"Hibernia Bank","46963","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"North Fork Business Capital","66396","United States","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Mizuho Bank Ltd","23894","Japan","Asia-Pacific Bank","2005.0","1.0"
"Mizuho Financial Group Inc","48055","Japan","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"MUFG Bank Ltd [ex-Bank of Tokyo-Mitsubishi Ltd]","46803","Japan","Asia-Pacific Bank","2005.0","1.0"
"AmSouth Bank","22861","United States","US Bank","2005.0","1.0"
"State of California Public Employees' Retirement System","52313","United States","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Banque Belgolaise SA","55919","Belgium","African Bank, Asia-Pacific Bank, Finance Company, US Bank, Western European Bank","2005.0","1.0"
"Siemens Credit Corp","68265","United States","Finance Company, Foreign Bank, US Bank","2005.0","1.0"
"GMAC Commercial Finance","64873","United States","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"KBC Finance Ireland","34632","Ireland","African Bank, Asia-Pacific Bank, Finance Company, US Bank, Western European Bank","2005.0","1.0"
"Arvest Bank","90419","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"Investec Bank Plc","13554","United Kingdom","African Bank, Asia-Pacific Bank, Finance Company, US Bank, Western European Bank","2005.0","1.0"
"Ghana International Bank Plc","93820","Ghana","African Bank, Asia-Pacific Bank, Finance Company, US Bank, Western European Bank","2005.0","1.0"
"Nedbank Ltd [South Africa]","12352","South Africa","African Bank, Asia-Pacific Bank, Finance Company, US Bank, Western European Bank","2005.0","1.0"
"Credit Agricole Corporate & Investment Bank SA [ex-Calyon]","98070","France","Western European Bank","2005.0","1.0"
"Natixis SA [Ex-Natexis Banques Populaires]","98445","France","Finance Company, Foreign Bank, Investment Bank, Pension Fund, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Daegu Bank","97524","South Korea","Asia-Pacific Bank, Insurance Company","2005.0","1.0"
"Portigon AG [ex-WestLB AG]","16128","Germany","Foreign Bank, Investment Bank, Western European Bank","2005.0","1.0"
"Glitnir Banki hf [Ex-Islandsbanki HF]","10833","Iceland","Foreign Bank, Investment Bank, Western European Bank","2005.0","1.0"
"DBS Bank Seoul","46333","Singapore","Asia-Pacific Bank, Insurance Company","2005.0","1.0"
"Cooperative Centrale Raiffeisen-Boerenleenbank BA [Rabobank International]","11099","Netherlands","Corporation, Foreign Bank, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Standard Federal Bank","21436","United States","Asia-Pacific Bank, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Guaranty Bank","60113","United States","Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Sovereign Bank","51547","United States","Investment Bank, Middle Eastern Bank, US Bank","2005.0","1.0"
"BES Investimento","100489","Portugal","Foreign Bank, Investment Bank, Western European Bank","2005.0","1.0"
"Taishin International Bank","13034","Taiwan","Asia-Pacific Bank, Investment Bank","2005.0","1.0"
"Nationwide Building Society","12076","United Kingdom","Foreign Bank, Investment Bank, Western European Bank","2005.0","1.0"
"Malayan Banking Bhd","12203","Malaysia","Asia-Pacific Bank, Foreign Bank","2005.0","1.0"
"Yuanta Commercial Bank Co Ltd [Fuhwa Commercial Bank]","12465","Taiwan","Asia-Pacific Bank, Investment Bank","2005.0","1.0"
"Northern Trust","12940","United States","Asia-Pacific Bank, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Bear Stearns","63179","United States","Finance Company","2005.0","1.0"
"Silicon Valley Bank","53329","United States","Corporation, US Bank","2005.0","1.0"
"SC First Bank (ex-Korea First Bank)","101577","South Korea","Asia-Pacific Bank, Insurance Company","2005.0","1.0"
"King's Town Bank [ex-Tainan Business Bank]","14584","Taiwan","Asia-Pacific Bank, Investment Bank","2005.0","1.0"
"Far Eastern International Bank","14764","Taiwan","Asia-Pacific Bank, Investment Bank","2005.0","1.0"
"Hsinchu International Bank","14768","Taiwan","Asia-Pacific Bank, Investment Bank","2005.0","1.0"
"BB&T Capital Markets","52355","United States","Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Affin Bank Bhd","14623","Malaysia","Asia-Pacific Bank, Foreign Bank","2005.0","1.0"
"Nordea Bank AB","16858","Norway","Corporation, Foreign Bank, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"NM Rothschild & Sons (Australia) Ltd","12849","Australia","Asia-Pacific Bank","2005.0","1.0"
"OCBC Bank Malaysia","42046","Malaysia","Asia-Pacific Bank, Foreign Bank","2005.0","1.0"
"Wachovia Bank NA","45500","United States","Asia-Pacific Bank, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Wachovia Securities","92610","United States","Finance Company","2005.0","1.0"
"RHB Bank Bhd","14817","Malaysia","Asia-Pacific Bank, Foreign Bank","2005.0","1.0"
"RHB Sakura Merchant Bankers","21710","Malaysia","Asia-Pacific Bank, Foreign Bank","2005.0","1.0"
"Bank United","45678","United States","Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Washington Mutual Bank","48108","United States","Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"CIMB Bank Bhd [ex-Bumiputra-Commerce Bank Bhd]","9097","Malaysia","Asia-Pacific Bank, Foreign Bank","2005.0","1.0"
"ING Bank","11660","Netherlands","Foreign Bank, Investment Bank, Western European Bank","2005.0","1.0"
"General Electric Co","12936","United States","Corporation, US Bank","2005.0","1.0"
"Bank of Hawaii","34534","United States","Asia-Pacific Bank, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Community Bank & Trust Co","49894","United States","Other, US Bank","2005.0","1.0"
"HSBC Bank Malaysia","14475","Hong Kong","Asia-Pacific Bank, Foreign Bank","2005.0","1.0"
"Midfirst Bank","49945","United States","Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Hibernia National Bank","48116","United States","Asia-Pacific Bank, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Commonwealth Bank of Australia","44923","Australia","Asia-Pacific Bank","2005.0","1.0"
"Franklin Bank NA","29413","United States","Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Hong Leong Bank","26101","Malaysia","Asia-Pacific Bank, Foreign Bank","2005.0","1.0"
"Mizuho Corporate Bank Ltd","36755","Japan","Asia-Pacific Bank","2005.0","1.0"
"M&T Trust","87892","United States","Other, US Bank","2005.0","1.0"
"Mellon Bank","26419","United States","Asia-Pacific Bank, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"First National Bank","52133","United States","Other, US Bank","2005.0","1.0"
"Associated Bank NA","52356","United States","Asia-Pacific Bank, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Unicredit Group[HVB]","43343","Germany","Foreign Bank, Investment Bank, Western European Bank","2005.0","1.0"
"Antares Holdings","61916","United States","Finance Company, Investment Bank, US Bank","2005.0","1.0"
"Guggenheim Corp Funding","80740","United States","Finance Company, Investment Bank, US Bank","2005.0","1.0"
"Korea Development Bank Ireland","101117","South Korea","Asia-Pacific Bank, Insurance Company","2005.0","1.0"
"Korea Exchange Bank","97275","South Korea","Asia-Pacific Bank, Insurance Company","2005.0","1.0"
"Woori Bank","10213","South Korea","Asia-Pacific Bank, Insurance Company","2005.0","1.0"
"Kyobo Life Insurance Co","97640","South Korea","Asia-Pacific Bank, Insurance Company","2005.0","1.0"
"Kwangju Bank","97724","South Korea","Asia-Pacific Bank, Insurance Company","2005.0","1.0"
"Hana Bank","97531","South Korea","Asia-Pacific Bank, Insurance Company","2005.0","1.0"
"First Hawaiian Bank","51055","United States","Asia-Pacific Bank, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Israel Discount Bank Ltd [IDB]","98639","Israel","Investment Bank, Middle Eastern Bank, US Bank","2005.0","1.0"
"Kookmin Bank","9108","South Korea","Asia-Pacific Bank, Insurance Company","2005.0","1.0"
"LG Insurance Co Ltd","98811","South Korea","Asia-Pacific Bank, Insurance Company","2005.0","1.0"
"Bank of Nova Scotia","13099","Canada","Asia-Pacific Bank, Finance Company, Foreign Bank, Investment Bank, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Banque LBLux SA","12602","Luxembourg","Finance Company, Foreign Bank, Western European Bank","2005.0","1.0"
"Friesland Bank Securities NV","11472","Netherlands","Finance Company, Foreign Bank, Western European Bank","2005.0","1.0"
"Commerzbank Corporates & Markets [ex-Dresdner Kleinwort Wasserstein]","26125","Germany","Inst. Invest. Other, Western European Bank","2005.0","1.0"
"ABN AMRO Bank NV [RBS]","10679","Netherlands","Finance Company, Foreign Bank, Western European Bank","2005.0","1.0"
"Raiffeisenbank as","86420","Czech Republic","East. Europe/Russian Bank","2005.0","1.0"
"Bank of Ireland Group","12675","Ireland","Inst. Invest. Other, Western European Bank","2005.0","1.0"
"Governor & Co of the Bank of Ireland","37325","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, Investment Bank, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Citicorp North America Inc","51189","United States","Specialty, US Bank","2005.0","1.0"
"Bear Stearns Commercial Mortgage Inc","59365","United States","US Bank","2005.0","1.0"
"Harris BankCorp","19100","United States","US Bank","2005.0","1.0"
"M&I Bank","52674","United States","Finance Company, Foreign Bank, US Bank","2005.0","1.0"
"BlueScope Steel (Finance) Ltd (ex-BHP Steel (Finance) Ltd)","44088","Australia","Other, Western European Bank","2005.0","1.0"
"Mercantile Safe Deposit & Trust Co","53208","United States","Finance Company, Foreign Bank, US Bank","2005.0","1.0"
"CAFCO Inc","27597","United States","Specialty, US Bank","2005.0","1.0"
"Bank of Scotland Plc","10503","United Kingdom","Finance Company, Foreign Bank, Western European Bank","2005.0","1.0"
"Mitsubishi Corp","45379","Japan","Corporation","2005.0","1.0"
"Ceska Sporitelna as","93317","Czech Republic","East. Europe/Russian Bank","2005.0","1.0"
"Manufacturers & Traders Trust Co","24589","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, Investment Bank, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Union Bank of California NA","12182","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, Investment Bank, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Fortis SA/NV [ex-Fortis Bank SA/NV]","50223","Belgium","Finance Company, Foreign Bank, Western European Bank","2005.0","1.0"
"Trustmark National Bank","51912","United States","US Bank","2005.0","1.0"
"American Capital Strategies Ltd","34162","United States","Finance Company","2005.0","1.0"
"Intermediate Capital Group [ICG]","7071","United Kingdom","Inst. Invest. Other, Western European Bank","2005.0","1.0"
"First Tennessee Bank","29835","United States","US Bank","2005.0","1.0"
"Sumitomo Corp","8744","Japan","Corporation","2005.0","1.0"
"Mitsui & Co Ltd","92551","Japan","Corporation","2005.0","1.0"
"Calyon New York Branch","53884","United States","Asia-Pacific Bank, Finance Company, Foreign Bank, Investment Bank, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"Bank of the West","50489","United States","US Bank","2005.0","1.0"
"Banca Nazionale del Lavoro SpA [BNL]","58819","Italy","Asia-Pacific Bank, Finance Company, Foreign Bank, Investment Bank, Thrift / S&L, US Bank, Western European Bank","2005.0","1.0"
"DZ Bank AG","10543","Germany","African Bank, Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"Deutsche Bank AG Luxembourg","11082","Luxembourg","Asia-Pacific Bank, Finance Company, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"BW Bank Ireland Plc [Dublin]","14681","Ireland","African Bank, Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"AIB Debt Management","61899","United States","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"DBS Bank Ltd","10854","Singapore","African Bank, Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"Rabobank International London","16691","United Kingdom","Asia-Pacific Bank, Western European Bank","2005.0","1.0"
"UBS Securities LLC","22172","Switzerland","Finance Company, Foreign Bank, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"UBS Loan Finance LLC","53833","United States","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"Banco Bilbao Vizcaya Argentaria SA [US]","90574","United States","Foreign Bank, US Bank, Western European Bank","2005.0","1.0"
"Danske Bank A/S","12736","Denmark","African Bank, Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"Sampo Bank Plc","13833","Finland","African Bank, Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"Northern Trust Corp","12941","United States","Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"United Overseas Bank","12978","Singapore","African Bank, Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"WGZ Bank","13194","Germany","African Bank, Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"Citigroup Investment Corporate Loan Fund","86070","United States","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"JPMorgan Chase Bank","17666","United States","Finance Company, US Bank","2005.0","1.0"
"Skandinaviska Enskilda Banken AB [SEB]","11314","Sweden","Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"Banc of America Securities Asia Ltd (ex-BA Asia)","22795","Hong Kong","US Bank","2005.0","1.0"
"LaSalle Business Credit Inc","63831","United States","Finance Company, US Bank","2005.0","1.0"
"IKB Capital Corp","69198","United States","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"OCBC Bank","17270","Singapore","African Bank, Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"Huntington National Bank","17130","United States","US Bank","2005.0","1.0"
"Morgan Stanley Senior Funding Inc","69677","United States","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"Bank of Taiwan","17729","Taiwan","Asia-Pacific Bank, Finance Company, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Foothill Capital Corp","46783","United States","Finance Company, US Bank","2005.0","1.0"
"Northwoods Capital IV Ltd","2765","United States","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"ING Prime Rate Trust","49117","United States","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"ING Senior Income Fund","63967","United States","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"ING Bank NV London - Bangko Sentral ng Pilipinas linked note","93821","Philippines","Asia-Pacific Bank, Finance Company, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Windsor Loan Funding Ltd","31239","United Kingdom","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"Massachusetts Mutual Life Insurance Co","33599","United States","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"Bank of Yokohama","36017","Japan","Asia-Pacific Bank","2005.0","1.0"
"Lloyds Bank","49089","United States","African Bank, Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"Erste Bank AG","46241","Austria","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"Nuveen Senior Income Fund","47595","United States","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"AgFirst Farm Credit Bank","47956","United States","Asia-Pacific Bank, Finance Company, Investment Bank, US Bank, Western European Bank","2005.0","1.0"
"Resona Bank Ltd","48918","Japan","Asia-Pacific Bank","2005.0","1.0"
"Shoko Chukin Bank","48828","Japan","Asia-Pacific Bank","2005.0","1.0"
"Union Bank of California","12181","United States","Asia-Pacific Bank, Corporation, Finance Company, Foreign Bank, Inst. Invest. CDO, Inst. Invest. Insur. Co., Inst. Invest. Other, Inst. Invest. Prime Fund, Insurance Company, Investment Bank, Mutual Fund, Other, Thrift / S&L, Trust Company, US Bank, Western European Bank","2005.0","1.0"
"Bank of Tokyo-Mitsubishi Ltd","46803","Japan","African Bank, Asia-Pacific Bank, US Bank, Western European Bank","2005.0","1.0"
"BOT Lease Co Ltd","48835","Japan","Asia-Pacific Bank, Finance Company","2005.0","1.0"
