Lender_Name,Lender_Id,Lender_Operating_Country,Lender_Institution_Type,year,quarter,original,Match1_RSSD,Match1_Name,Match1_Status,Match1_Asset,Match1_Address,Match1_City,Match1_State,Match1_Zip,Match2_RSSD,Match2_Name,Match2_Status,Match2_Asset,Match2_Address,Match2_City,Match2_State,Match2_Zip
East West Bank,93936,United States,"Asian Bank, Canadian Bank, US Bank",2021,1,East West Bank,197478,East West Bank,Active,79081956.0,135 N Los Robles Ave,Pasadena,CA,91101.0,541165,"Eastwest Bank, National Association",Inactive,3754.0,1993 South Kihei Road,Kihei,HI,96753.0
Texas Capital Bank NA,66827,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Prosperity Bank,114808,United States,US Bank,2021,1,Prosperity Bank,664756,Prosperity Bank,Active,38360065.0,1301 N Mechanic St,El Campo,TX,77437.0,879532,Prosperity Bank,Inactive,747548.0,100 South Park Boulevard,Saint Augustine,FL,32086.0
Citi,13704,United States,"European Bank, Multinational Investment Bank & Financial Services",2021,1,,,,,,,,,,,,,,,,,
Comerica Bank NA,31838,United States,"Asian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
JP Morgan Chase & Co,14262,United States,"European Bank, Multinational Investment Bank & Financial Services",2021,1,,,,,,,,,,,,,,,,,
Third Coast Bank SSB,163225,United States,US Bank,2021,1,,,,,,,,,,,,,,,,,
US Bank NA,32997,United States,"Asian Bank, Canadian Bank, European Bank, Japanese Bank, Latin America & Caribbean Bank, Multinational Investment Bank & Financial Services, US Bank",2021,1,,,,,,,,,,,,,,,,,
Webster Bank NA,48050,United States,US Bank,2021,1,,,,,,,,,,,,,,,,,
Texas Capital Bank,66826,United States,US Bank,2021,1,Texas Capital Bank,2618780,Texas Capital Bank,Active,32246474.0,2000 Mckinney Ave,Dallas,TX,75201.0,911254,"Texas Capital Bank, National Association",Inactive,172917.0,7909 Parkwood Circle Drive,Houston,TX,77036.0
Texas Capital Bank,66826,United States,US Bank,2021,1,Texas Capital Bank,2618780,Texas Capital Bank,Active,32246474.0,2000 Mckinney Ave,Dallas,TX,75201.0,911254,"Texas Capital Bank, National Association",Inactive,172917.0,7909 Parkwood Circle Drive,Houston,TX,77036.0
Associated Bank NA,52356,United States,"Asian Bank, US Bank",2021,1,,,,,,,,,,,,,,,,,
Citibank NA,29607,United States,Multinational Investment Bank & Financial Services,2021,1,,,,,,,,,,,,,,,,,
City National Bank,23674,United States,"Canadian Bank, European Bank, US Bank",2021,1,City National Bank,63069,City National Bank,Active,96473902.0,555 S Flower St,Los Angeles,CA,90071.0,814430,City National Bank of Florida,Active,27770671.0,25 W Flagler St,Miami,FL,33130.0
State Street Bank,88345,United States,"Multinational Investment Bank & Financial Services, US Bank",2021,1,State Street Bank,35301,State Street Bank and Trust Company,Active,366079000.0,One Congress Street,Boston,MA,2114.0,352745,State Street Bank and Trust Company,Active,340506.0,801 State St,Quincy,IL,62301.0
